county,state,distributor_count
Atlantic,NJ,37
Burlington,NJ,61
Camden,NJ,59
Cape May,NJ,28
Gloucester,NJ,36
Ocean,NJ,55
Bucks,PA,100
Chester,PA,75
Delaware,PA,86
Montgomery,PA,104
Philadelphia,PA,126
